Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
0.560734,2.916086,10.071207,-0.144622,0.409612,1.300138,-1.771706,-29.365017,-36.256992,-126.124378,-17.461347,4.805077,Walking
-0.074844,2.948419,11.187286,-0.302118,0.500843,0.792407,-2.402576,-28.836288,-36.864262,-128.855852,-16.90858,5.434946,Walking
0.61058,2.869832,10.853929,-0.092063,0.571245,0.577196,-2.436707,-28.394241,-37.25246,-130.722506,-16.677729,6.520534,Walking
0.720602,2.657574,9.65612,0.09168,0.407871,0.3269,-2.361401,-28.489964,-37.264622,-131.909108,-17.013991,7.513982,Walking
-0.123493,2.542014,8.642578,0.026765,0.893966,-0.096058,-0.920906,-28.495686,-37.76717,-131.929145,-17.018971,9.87476,Walking
-1.129551,1.830094,9.370514,-0.246987,0.228348,-0.37697,-0.015682,-28.041367,-37.999737,-131.250137,-16.239708,11.115103,Walking
-1.697919,1.777254,9.071735,-0.364837,0.22702,-0.390634,0.812748,-27.554832,-38.685726,-130.50017,-14.995281,12.011903,Walking
-0.83197,2.95755,8.922795,-0.249998,0.144041,0.273135,0.717937,-27.228016,-38.960964,-131.454432,-14.376119,12.341187,Walking
-0.629291,3.398084,8.456215,-0.16115,-0.149477,0.765763,-0.332153,-27.03146,-39.280277,-133.859768,-14.280984,11.450514,Walking
-1.524729,3.753145,8.817863,-0.297822,-0.204802,0.545986,-1.470699,-26.658611,-39.529606,-135.940029,-13.815797,10.463589,Walking
-1.824556,4.376749,9.44431,-0.37949,-0.283503,0.600962,-2.880577,-25.859024,-40.28648,-138.047489,-13.04142,9.281374,Walking
-2.41897,4.497248,10.489736,-0.199444,-0.167005,0.495949,-4.039314,-25.395447,-40.396618,-139.859001,-12.643779,8.425909,Walking
-2.555037,3.826044,11.479179,0.072435,-0.013516,0.53738,-4.836689,-25.309875,-40.30788,-141.600587,-12.957113,8.016154,Walking
-3.855383,3.496729,11.588302,0.094919,-0.185744,0.501915,-5.8965,-25.427864,-39.894245,-143.288443,-13.485784,7.384296,Walking
-2.20252,2.30341,11.84906,0.188566,0.41886,0.739946,-6.25103,-25.62484,-39.882816,-145.469581,-14.188181,7.68951,Walking
-1.441502,0.948877,11.35838,-0.016161,-1.029281,0.914114,-9.09436,-25.192974,-39.38982,-148.365787,-14.55981,4.686774,Walking
-1.425037,1.986818,7.499255,0.795828,-0.632997,1.101363,-11.676222,-25.847729,-38.316547,-151.594071,-16.602383,1.700895,Walking
0.183668,1.636996,7.691006,0.278675,-0.011477,1.178667,-13.280804,-25.650497,-37.541927,-155.243836,-17.679197,0.435424,Walking
0.272134,1.541045,9.642199,-0.537918,-1.657796,1.132229,-16.430519,-24.135933,-37.636784,-158.709313,-16.349354,-3.754876,Walking
-0.11062,1.073867,8.307874,-0.623035,-0.187769,0.785884,-18.424925,-22.300869,-37.71957,-161.220384,-14.411404,-5.458084,Walking
1.537453,1.365161,6.403234,-0.066931,-1.156597,1.5072,-21.006659,-20.503185,-37.43655,-165.38236,-13.556991,-9.087594,Walking
1.764531,3.031945,10.718461,0.387237,1.38802,0.836428,-23.308992,-19.704048,-36.440632,-168.074143,-13.906613,-10.194833,Walking
0.567769,4.845274,6.548432,0.666999,1.485761,-0.94551,-19.264259,-21.848557,-37.624813,-165.960143,-15.900066,-5.35149,Walking
1.748963,2.457739,11.121124,1.022027,0.060378,0.582303,-20.178984,-24.038078,-35.638325,-166.451845,-19.770317,-7.337974,Walking
0.90397,5.203928,8.444539,-0.20068,-1.417451,-0.746316,-21.419846,-24.383427,-34.733929,-164.66393,-19.087446,-10.474371,Walking
1.504072,4.449797,9.454489,0.531163,0.644381,-0.391567,-20.371016,-25.453976,-34.900127,-163.643204,-20.75801,-8.921303,Walking
1.05815,4.205355,11.961775,-0.145716,0.410123,-0.397043,-19.002464,-26.116421,-35.51498,-162.674245,-20.93697,-7.207962,Walking
2.193688,2.514471,8.473429,0.160675,0.749075,-0.221401,-17.422813,-26.296017,-35.92329,-161.926954,-21.112255,-4.895291,Walking
1.713038,3.645519,8.177046,0.127415,0.186299,-0.491128,-16.262678,-26.95499,-36.103764,-160.69984,-21.6585,-3.62987,Walking
0.508193,3.584895,9.208251,0.121896,0.549897,-0.438805,-14.797127,-27.43354,-36.61797,-159.416779,-21.952193,-1.67292,Walking
-0.118104,2.797832,10.091564,-0.232746,0.724775,-0.022353,-13.064022,-27.316765,-37.315624,-159.29837,-21.595726,0.458921,Walking
